config,metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
default,MCC,D130,RF,MLP,0.06135596088342639,4.789190456434779,0.0009885103994356137,6.641372363665402e-05,0.005110861688166435,0.9948227245881969,0.012850635192662978
default,MCC,D130,RF,NB,-0.005513494033212533,-0.45923699629447806,0.6569543451227062,0.129166637893678,0.8395748039724148,0.03125855813390722,0.8381293201287449
default,MCC,D130,XGB,SVM,0.030053116334214196,2.0264449759138077,0.07335451435064057,0.004095721508235326,0.2533552316666725,0.7425490468250922,0.44012708610384343
default,MCC,D130,XGB,MLP,0.04891448185991447,3.3864277359666834,0.008044540134994286,0.0005069315443996926,0.037658812934785235,0.961834255520815,0.08848994148493715
default,MCC,D130,XGB,NB,-0.017954973056724444,-1.35313990049449,0.20901903281893924,0.44045815014868545,0.5501577619603856,0.009384087890928936,0.8381293201287449
default,MCC,D130,SVM,MLP,0.018861365525700273,1.0725979934319243,0.31136832589134655,0.027224963612204604,0.4978812909214969,0.4748937454662985,0.8381293201287449
default,MCC,D130,SVM,NB,-0.04800808939093864,-3.5441472727264527,0.006273177457255725,0.9656886245282233,0.03395213736432497,0.00035923810745167755,0.0752781294870687
default,MCC,D130,MLP,NB,-0.06686945491663891,-6.90485304989186,7.028820285698533e-05,0.9995392828662709,0.00045633004054594346,4.387093183139297e-06,0.0009840348399977948
default,BRIER,BC,LR,RF,0.011441095667437739,2.542285587116902,0.031592088239945006,0.0026373776895175748,0.0903360349455945,0.907026587364888,0.34751297063939507
default,BRIER,BC,LR,XGB,0.0037324120927165307,0.9142645971888171,0.38441744621681445,0.03050429910572652,0.5879285642183503,0.3815671366759232,1.0
default,BRIER,BC,LR,SVM,0.0017510235148875408,0.7346095157921116,0.4812783786159787,0.009801475922995486,0.8873090111740337,0.10288951290297076,1.0
default,BRIER,BC,LR,MLP,0.0032306797881382033,0.621210401242208,0.5498690827400735,0.07388979319772315,0.555422954422769,0.37068725237950784,1.0
default,BRIER,BC,LR,NB,0.03707976493034583,2.7661394647303372,0.02189126064829669,0.005956805512470502,0.014177106380094284,0.9798660881074353,0.284586388427857
default,BRIER,BC,RF,XGB,-0.007708683574721209,-2.3827948150936202,0.04103925735327106,0.788056578084921,0.2102152916850649,0.0017281302300140747,0.3621807754176616
default,BRIER,BC,RF,SVM,-0.009690072152550199,-3.0866315412707377,0.012999984496402881,0.9154011936051376,0.0840240948214647,0.0005747115733976985,0.19499976744604322
default,BRIER,BC,RF,MLP,-0.008210415879299535,-1.1707436781164815,0.2717660315085149,0.6711008744434792,0.28284090846070986,0.046058217095810934,1.0
default,BRIER,BC,RF,NB,0.025638669262908094,2.4458434574800583,0.037008197292678235,0.008456150539501113,0.031723192708985715,0.9598206567515132,0.3621807754176616
default,BRIER,BC,XGB,SVM,-0.00198138857782899,-0.5198694613981195,0.6156982165890799,0.22424954490735943,0.7257170412777854,0.05003341381485529,1.0
default,BRIER,BC,XGB,MLP,-0.0005017323045783276,-0.07395239582716036,0.942665839245111,0.26186326848631786,0.5190865844001993,0.2190501471134829,1.0
default,BRIER,BC,XGB,NB,0.033347352837629296,2.7331365336520155,0.02310562981067107,0.005920486660437474,0.016654283889077415,0.9774252294504852,0.284586388427857
default,BRIER,BC,SVM,MLP,0.0014796562732506632,0.26361042473445484,0.7980164420377137,0.13891967720897586,0.5881183846596139,0.27296193813141034,1.0
default,BRIER,BC,SVM,NB,0.03532874141545829,2.9902755246255754,0.015194125202044875,0.003842821404968467,0.011291059957402871,0.9848661186376286,0.21271775282862826
default,BRIER,BC,MLP,NB,0.03384908514220763,2.45899895184685,0.03621807754176616,0.009963481219795083,0.022762714786142446,0.9672738039940625,0.3621807754176616
default,BRIER,PIMA,LR,RF,0.004434425134242555,0.6573604591857642,0.5274010285452578,0.0975683957180668,0.43494721554076854,0.4674843887411646,1.0
default,BRIER,PIMA,LR,XGB,0.04016818384063235,3.598913961210129,0.005758065045630523,0.0014425162394595089,0.004394872751766532,0.994162611008774,0.04606452036504419
default,BRIER,PIMA,LR,SVM,0.007093609453902946,1.79497224404428,0.10623242765975784,0.0067583722816668065,0.2976527876851164,0.6955888400332169,0.42492971063903134
default,BRIER,PIMA,LR,MLP,0.10439956231675826,7.105319945485788,5.634074965068548e-05,1.9434423922849844e-05,2.1445858832236375e-05,0.9999591197172449,0.0007887704951095967
default,BRIER,PIMA,LR,NB,0.027751258608117495,3.8238276247676586,0.004065992018484675,0.0007273413395533204,0.005262970224706565,0.9940096884357401,0.036593928166362075
default,BRIER,PIMA,RF,XGB,0.035733758706389805,4.954137805751705,0.0007868223983705535,0.00015647370766482566,0.0008926251577385802,0.9989509011345966,0.008655046382076089
default,BRIER,PIMA,RF,SVM,0.0026591843196603917,0.4804056073266229,0.6424006784001044,0.0997448267411365,0.5592179220606273,0.34103725119823625,1.0
default,BRIER,PIMA,RF,MLP,0.09996513718251569,8.442176304689939,1.436555898726705e-05,4.802646010729722e-06,5.981159162282701e-06,0.999989216194827,0.00021548338480900574
default,BRIER,PIMA,RF,NB,0.023316833473874938,2.2254951012748827,0.053085767521838266,0.012101703810451355,0.044956328404941015,0.9429419677846076,0.30052908221410285
default,BRIER,PIMA,XGB,SVM,-0.03307457438672941,-3.228291717772014,0.01035093739092541,0.9886199772940145,0.008991586673961976,0.0023884360320235065,0.07245656173647787
default,BRIER,PIMA,XGB,MLP,0.06423137847612588,5.760211132106126,0.0002727672311970675,7.817244512913954e-05,0.00016363704889776898,0.9997581905059731,0.00327320677436481
default,BRIER,PIMA,XGB,NB,-0.012416925232514859,-0.9011849514973362,0.3909679615938321,0.6984224719076559,0.1827621408802401,0.11881538721210397,1.0
default,BRIER,PIMA,SVM,MLP,0.09730595286285529,7.030834214777315,6.113410220480313e-05,2.0566323025449426e-05,2.5001125374291e-05,0.9999544325516002,0.0007947433286624408
default,BRIER,PIMA,SVM,NB,0.02065764915421455,2.26107908502114,0.05008818036901714,0.010180354035277367,0.05005220619724715,0.9397674397674755,0.30052908221410285
default,BRIER,PIMA,MLP,NB,-0.07664830370864076,-4.700128679232296,0.001119967460808745,0.999135892319133,0.0004999002058235103,0.0003642074750434664,0.01119967460808745
default,BRIER,HEART,LR,RF,0.0033728471625673905,0.36202862324040136,0.7256852390092878,0.19458089628551678,0.3732595427010508,0.43215956101343245,1.0
default,BRIER,HEART,LR,XGB,0.034525762257117336,1.9675695991923146,0.08065680139041134,0.024773883735108814,0.03748246775327657,0.9377436485116146,0.8065680139041134
default,BRIER,HEART,LR,SVM,0.01285587293273418,1.324126438363509,0.21810203760525987,0.04855720937656446,0.16960557562305623,0.7818372150003793,1.0
default,BRIER,HEART,LR,MLP,0.06263981137948364,2.679749253179549,0.02521642399172966,0.008610916667371318,0.008813431123222415,0.9825756522094062,0.32781351189248553
default,BRIER,HEART,LR,NB,0.031252306323012666,1.6676026041101488,0.1297417402455759,0.04165317844500317,0.054384171444934126,0.9039626501100627,1.0
default,BRIER,HEART,RF,XGB,0.031152915094549944,2.9892314770870243,0.015219881758117029,0.003402126201520365,0.012810992963435686,0.983786880835044,0.2130783446136384
default,BRIER,HEART,RF,SVM,0.009483025770166792,0.8006813000717641,0.44393807395917523,0.12474291384296192,0.23125235016570467,0.6440047359913335,1.0
default,BRIER,HEART,RF,MLP,0.059266964216916254,3.405267704044193,0.007807905524826372,0.0023946491706325237,0.003578677653255813,0.9940266731761117,0.11711858287239559
default,BRIER,HEART,RF,NB,0.02787945916044527,1.1176671680676786,0.2926549280136796,0.10859226216584247,0.08134945177364494,0.8100582860605126,1.0
default,BRIER,HEART,XGB,SVM,-0.021669889324383153,-1.380686794720091,0.20069447962064366,0.8436097021692105,0.09574305893596204,0.06064723889482747,1.0
default,BRIER,HEART,XGB,MLP,0.028114049122366314,2.415299221731005,0.038909429895038164,0.009328320185014307,0.029000669792501488,0.9616710100224842,0.4280037288454198
default,BRIER,HEART,XGB,NB,-0.003273455934104677,-0.10593398133717603,0.9179583009395501,0.4781855450643155,0.12502163328341243,0.39679282165227203,1.0
