strategy,model,repeat,fold,ACC,BAL,F1,AUC,MCC,BRIER
median,SVM,4,7,0.8181818181818182,0.8174074074074074,0.7586206896551724,0.8948148148148148,0.6176666813419998,0.1321981521796286
median,SVM,4,8,0.75,0.7453846153846153,0.6666666666666666,0.7692307692307692,0.47376382757987345,0.17669731501436478
median,SVM,4,9,0.6973684210526315,0.686923076923077,0.5964912280701754,0.7976923076923077,0.3608921946768315,0.17539534023571018
median,MLP,0,0,0.7012987012987013,0.6762962962962963,0.5818181818181818,0.7481481481481482,0.349754259914075,0.2758271171165892
median,MLP,0,1,0.6753246753246753,0.6477777777777778,0.5454545454545454,0.6911111111111111,0.2931763649279746,0.3111574125649656
median,MLP,0,2,0.6233766233766234,0.5907407407407407,0.4727272727272727,0.6881481481481482,0.1800205749557739,0.3169181046607699
median,MLP,0,3,0.7402597402597403,0.7233333333333334,0.6428571428571429,0.8133333333333332,0.4398765500800706,0.21132139717642215
median,MLP,0,4,0.7532467532467533,0.7333333333333334,0.6545454545454545,0.7748148148148148,0.4629100498862757,0.2024687514474925
median,MLP,0,5,0.7662337662337663,0.7518518518518519,0.6785714285714286,0.8244444444444444,0.49604652413672967,0.21131981613050554
median,MLP,0,6,0.7272727272727273,0.6962962962962963,0.6037735849056604,0.7999999999999999,0.3961295342422729,0.23601025762222352
median,MLP,0,7,0.7142857142857143,0.6862962962962963,0.5925925925925926,0.7859259259259259,0.3725925925925926,0.24321801704380483
median,MLP,0,8,0.7105263157894737,0.6876923076923077,0.5925925925925926,0.78,0.3691887949279695,0.23391172738704233
median,MLP,0,9,0.6710526315789473,0.6576923076923077,0.5614035087719298,0.7092307692307692,0.3044563782253105,0.29219560916923326
median,MLP,1,0,0.6623376623376623,0.6377777777777778,0.5357142857142857,0.7007407407407407,0.2713666279100933,0.29553854231580234
median,MLP,1,1,0.5974025974025974,0.5622222222222222,0.43636363636363634,0.5955555555555555,0.12344267996967352,0.38024909685032643
median,MLP,1,2,0.7142857142857143,0.6862962962962963,0.5925925925925926,0.782962962962963,0.3725925925925926,0.22547240891557485
median,MLP,1,3,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.7888888888888889,0.5849208388379199,0.20256472078439863
median,MLP,1,4,0.8181818181818182,0.7748148148148148,0.7083333333333334,0.8503703703703704,0.5888888888888889,0.15796510549465748
median,MLP,1,5,0.7922077922077922,0.7803703703703704,0.7142857142857143,0.84,0.5522164981933888,0.18197472161174116
